"Country	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	ActiveCases	SeriousCritical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	CASES per Test	Death in Closed Cases	Rank by Testing rate	Rank by Death rate	Rank by Cases rate	Rank by Death of Closed Cases	TOP_DEATH	TOP_TEST"
"World	22849844.00	267351.00	796376.00	6186.00	15508345.00	6545123.00	61822.00	2931.00	102.2				4.88%		52	80	61"
"USA	5746272.00	45341.00	177424.00	1090.00	3095484.00	2473364.00	16817.00	17346.00	536	73868332.00	222984.00	331272237	5.42%	19	10	8	53"
"Brazil	3505097.00	44684.00	112423.00	1234.00	2653407.00	739267.00	8318.00	16474.00	528	13748152.00	64616.00	212768400	4.06%	71	11	10	82"
"India	2904329.00	68507.00	54975.00	981	2157941.00	691413.00	8944.00	2102.00	40	32661252.00	23636.00	1381863561	2.48%	123	87	90	121"
"Russia	942106.00	4785.00	16099.00	110	755513.00	170494.00	2300.00	6455.00	110	33500000.00	229541.00	145943309	2.09%	17	49	39	140"
"South Africa	599940.00	3880.00	12618.00	195	497169.00	90153.00	539	10098.00	212	3480283.00	58581.00	59410167	2.48%	82	30	20	123"
"Peru	567059.00	8639.00	27034.00	200	380730.00	159295.00	1519.00	17166.00	818	2852011.00	86336.00	33033892	6.63%	58	3	9	38"
"Mexico	537031.00	5792.00	58481.00	707	367537.00	111013.00	3480.00	4159.00	453	1211552.00	9383.00	129117943	13.73%	153	13	57	16"
"Colombia	513719.00	11541.00	16183.00	204	339124.00	158412.00	1493.00	10081.00	318	2374898.00	46606.00	50956995	4.55%	91	20	21	65"
"Spain	404229.00	3349.00	28813.00	16	0	0	522	8645.00	616	7955615.00	170147.00	46757339	100.00%	29	5	25	1"
"Chile	391849.00	1812.00	10671.00	93	366063.00	15115.00	1077.00	20474.00	558	2113632.00	110437.00	19138783	2.83%	48	9	5	110"
"Iran	352558.00	2279.00	20264.00	139	304236.00	28058.00	3869.00	4190.00	241	2939840.00	34940.00	84138745	6.24%	108	25	56	41"
"UK	322280.00	1182.00	41403.00	6	0	0	70	4744.00	609	15177265.00	223407.00	67935641	100.00%	18	6	53	1"
"Argentina	320884.00	8225.00	6517.00	187	233651.00	80716.00	1832.00	7091.00	144	1030992.00	22783.00	45252733	2.71%	127	40	33	113"
"Saudi Arabia	303973.00	1287.00	3548.00	42	275476.00	24949.00	1682.00	8713.00	102	4501104.00	129021.00	34886672	1.27%	39	53	24	163"
"Pakistan	290958.00	513	6209.00	8	272804.00	11945.00	725	1314.00	28	2363752.00	10673.00	221460187	2.23%	148	100	109	134"
"Bangladesh	287959.00	2868.00	3822.00	41	168991.00	115146.00		1746.00	23	1407556.00	8535.00	164914115	2.21%	156	107	95	135"
"Italy	256118.00	840	35418.00	6	204686.00	16014.00	68	4237.00	586	7790596.00	128878.00	60449180	14.75%	40	7	55	12"
"Turkey	254520.00	1412.00	6058.00	19	234797.00	13665.00	735	3013.00	72	6061930.00	71770.00	84463026	2.52%	65	63	79	119"
"Germany	231284.00	1584.00	9324.00	10	204800.00	17160.00	231	2759.00	111	10197366.00	121656.00	83821481	4.35%	43	48	83	75"
"France	229814.00	4771.00	30480.00	12	84065.00	115269.00	384	3520.00	467	6000000.00	91892.00	65293815	26.61%	56	12	70	8"
"Iraq	192797.00	3995.00	6208.00	87	137200.00	49389.00	614	4779.00	154	1368727.00	33929.00	40340634	4.33%	110	38	52	76"
"Philippines	177579.00	3896.00	2881.00	86	113903.00	60795.00	717	1618.00	26	2193448.00	19981.00	109778515	2.47%	129	101	99	124"
"Indonesia	147211.00	2266.00	6418.00	72	100674.00	40119.00		537	23	1969941.00	7192.00	273918933	5.99%	163	107	147	44"
"Canada	123873.00	383	9054.00	5	110288.00	4531.00	61	3278.00	240	4974215.00	131636.00	37787666	7.59%	37	26	76	34"
"Qatar	116224.00	268	193		112924.00	3107.00	64	41393.00	69	572273.00	203815.00	2807805	0.17%	23	65	1	191"
"Ecuador	105508.00	1033.00	6200.00	54	87660.00	11648.00	331	5968.00	351	297376.00	16821.00	17679078	6.61%	134	19	44	40"
"Bolivia	105050.00	2031.00	4233.00	61	39965.00	60852.00	71	8983.00	362	222251.00	19005.00	11694550	9.58%	130	16	23	25"
"Kazakhstan	103815.00	244	1415.00		86450.00	15950.00	221	5520.00	75	2291327.00	121832.00	18807256	1.61%	42	62	47	152"
"Israel	99599.00	1630.00	795	14	74579.00	24225.00	389	10829.00	86	2180096.00	237029.00	9197590	1.05%	16	57	19	169"
"Ukraine	98537.00	2134.00	2184.00	40	50441.00	45912.00	177	2255.00	50	1356698.00	31049.00	43695861	4.15%	113	80	88	81"
"Egypt	97025.00	111	5212.00	15	63462.00	28351.00	41	946	51	135000.00	1316.00	102590466	7.59%	189	78	124	33"
"Dominican Republic	89010.00	883	1505.00	4	57734.00	29771.00	288	8194.00	139	335478.00	30883.00	10862806	2.54%	114	43	28	116"
"Sweden	85810.00		5805.00	5	0	0	27	8489.00	574	1030010.00	101900.00	10108001	100.00%	53	8	26	1"
"China	84895.00	7	4634.00		79745.00	516	24	59	3	90410000.00	62814.00	1439323776	5.49%	77	169	199	52"
"Panama	83855.00	101	1844.00	17	59174.00	22837.00	154	19393.00	426	287300.00	66445.00	4323882	3.02%	69	14	6	101"
"Oman	83769.00	163	609	6	78386.00	4774.00	151	16350.00	119	309212.00	60353.00	5123430	0.77%	79	46	11	174"
"Belgium	79479.00	582	9969.00	10	18078.00	51432.00	83	6854.00	860	2049976.00	176773.00	11596664	35.54%	27	2	34	6"
"Kuwait	78767.00	622	509	2	70642.00	7616.00	94	18407.00	119	577588.00	134980.00	4279075	0.72%	35	46	7	178"
"Romania	74963.00	1346.00	3154.00	48	34196.00	37613.00	489	3900.00	164	1591015.00	82783.00	19219141	8.44%	60	35	61	28"
"Belarus	69950.00	149	627	5	67929.00	1394.00		7403.00	66	1437110.00	152093.00	9448882	0.91%	33	67	32	171"
"Guatemala	65983.00	1102.00	2506.00	39	54351.00	9126.00	5	3674.00	140	213204.00	11871.00	17959594	4.41%	146	42	67	72"
"UAE	65802.00	461	369	2	58153.00	7280.00		6642.00	37	6265918.00	632496.00	9906649	0.63%	7	89	37	183"
"Netherlands	65054.00	529	6191.00	10	0	0	51	3795.00	361	1312787.00	76591.00	17140202	100.00%	63	17	63	1"
"Poland	59378.00	767	1925.00	12	40481.00	16972.00	85	1569.00	51	2409394.00	63672.00	37840722	4.54%	74	78	101	66"
"Japan	58501.00	951	1144.00	16	45266.00	12091.00	237	463	9	1259422.00	9962.00	126421114	2.46%	152	137	154	125"
"Singapore	56099.00	68	27	0	53119.00	2953.00		9579.00	5	1745928.00	298108.00	5856690	0.05%	15	155	22	192"
"Portugal	54992.00	291	1788.00	2	40264.00	12940.00	39	5395.00	175	1880235.00	184473.00	10192461	4.25%	26	34	49	80"
"Honduras	52298.00	628	1608.00	15	7867.00	42823.00	43	5269.00	162	127946.00	12890.00	9925734	16.97%	142	36	50	9"
"Nigeria	50964.00	476	992	7	37569.00	12403.00	7	246	5	352625.00	1705.00	206802324	2.57%	185	155	173	115"
"Bahrain	48303.00	353	179	1	44628.00	3496.00	37	28265.00	105	1011805.00	592064.00	1708944	0.40%	8	51	3	188"
"Morocco	47638.00	1325.00	775	32	32806.00	14057.00	31	1289.00	21	1670569.00	45187.00	36970089	2.31%	94	111	110	129"
"Ghana	43260.00	166	261	5	41276.00	1723.00	5	1388.00	8	431272.00	13841.00	31158344	0.63%	141	141	106	184"
"Kyrgyzstan	42507.00	182	1498.00	0	35486.00	5523.00	24	6501.00	229	267718.00	40944.00	6538600	4.05%	101	28	38	83"
"Armenia	42319.00	263	836	3	35476.00	6007.00		14278.00	282	190560.00	64291.00	2964022	2.30%	72	21	13	130"
"Algeria	40258.00	411	1411.00	9	28281.00	10566.00	41	916	32			43956407	4.75%		96	126	64"
"Switzerland	39026.00	266	1998.00	2	33900.00	3128.00	15	4505.00	231	910283.00	105073.00	8663370	5.57%	50	27	54	51"
"Afghanistan	37856.00	257	1385.00	10	27681.00	8790.00	31	970	35	100138.00	2565.00	39043064	4.77%	180	92	120	62"
"Venezuela	37567.00	699	311	8	26330.00	10926.00	85	1322.00	11	1678639.00	59056.00	28424431	1.17%	80	133	108	164"
"Uzbekistan	37547.00	435	252	4	33261.00	4034.00	410	1120.00	8	1377915.00	41089.00	33534589	0.75%	100	141	114	177"
"Ethiopia	35836.00	1778.00	620	20	13536.00	21680.00	216	311	5	694093.00	6018.00	115332992	4.38%	168	155	165	73"
"Azerbaijan	34759.00	139	510		32511.00	1738.00		3424.00	50	855802.00	84301.00	10151735	1.54%	59	80	74	154"
"Moldova	31937.00	522	921	7	21885.00	9131.00	362	7920.00	228	183923.00	45609.00	4032626	4.04%	93	29	30	84"
"Kenya	31441.00	426	516	10	17869.00	13056.00	44	583	10	398585.00	7391.00	53926571	2.81%	161	134	141	111"
"Costa Rica	31075.00	666	333	12	9939.00	20803.00	128	6093.00	65	126337.00	24769.00	5100508	3.24%	121	69	41	94"
"Serbia	30209.00	161	689	5	27908.00	1612.00	52	3459.00	79	842441.00	96474.00	8732325	2.41%	54	60	73	127"
"Nepal	29645.00	707	126	6	17964.00	11555.00		1015.00	4	878622.00	30083.00	29206558	0.70%	116	162	118	179"
"Ireland	27676.00	129	1776.00	1	23364.00	2536.00	6	5596.00	359	735598.00	148747.00	4945309	7.06%	34	18	46	36"
"Austria	24431.00	347	729		21093.00	2609.00	21	2710.00	81	1061437.00	117760.00	9013539	3.34%	44	59	84	92"
"Australia	24236.00	243	463	13	17854.00	5919.00	51	949	18	5507605.00	215645.00	25540177	2.53%	22	114	123	117"
"El Salvador	23964.00	247	640	7	11558.00	11766.00	391	3692.00	99	288307.00	44418.00	6490763	5.25%	96	55	66	57"
"Czechia	21045.00	247	406	2	15886.00	4753.00	24	1965.00	38	820151.00	76565.00	10711777	2.49%	64	88	91	120"
"Cameroon	18762.00	138	408	2	16540.00	1814.00	30	705	15	149000.00	5595.00	26631541	2.41%	170	125	133	128"
"Palestine	17989.00	383	120	1	10682.00	7187.00		3516.00	23	214862.00	41991.00	5116888	1.11%	98	107	71	167"
"Ivory Coast	17249.00	17	112	1	14611.00	2526.00		652	4	117115.00	4426.00	26463011	0.76%	175	162	138	175"
"Bosnia and Herzegovina	17029.00	338	515	8	10881.00	5633.00		5195.00	157	168861.00	51515.00	3277873	4.52%	87	37	51	68"
"S. Korea	16346.00	288	307	1	14063.00	1976.00	12	319	6	1734083.00	33819.00	51275415	2.14%	111	148	162	137"
"Denmark	16056.00	116	621		13769.00	1666.00	1	2771.00	107	2075156.00	358091.00	5795057	4.32%	14	50	81	77"
"Bulgaria	14962.00	142	532	5	10087.00	4343.00	63	2156.00	77	358723.00	51683.00	6940865	5.01%	86	61	89	59"
"Madagascar	14154.00	80	177	4	13038.00	939	83	509	6	53954.00	1942.00	27783027	1.34%	183	148	150	161"
"North Macedonia	13194.00	118	554	3	9752.00	2888.00	4	6333.00	266	132493.00	63596.00	2083362	5.38%	75	24	40	56"
"Sudan	12582.00	36	812	4	6456.00	5314.00		286	18	401	9	43982802	11.17%	194	114	166	19"
"Senegal	12559.00	113	261	3	8050.00	4248.00	39	748	16	134349.00	7997.00	16800813	3.14%	159	122	132	98"
"Paraguay	11817.00	684	170	5	6783.00	4864.00	63	1654.00	24	166110.00	23250.00	7144441	2.44%	125	104	97	126"
"Lebanon	10952.00	605	113	4	3040.00	7799.00	72	1606.00	17	443709.00	65050.00	6821056	3.58%	70	118	100	86"
"Zambia	10372.00	154	274	5	9126.00	972		562	15	103023.00	5584.00	18449899	2.91%	171	125	143	108"
"Norway	10197.00	35	264	2	9150.00	783	1	1879.00	49	588550.00	108447.00	5427090	2.80%	49	82	93	112"
"DRC	9757.00	16	247	1	8895.00	615		109	3			89906805	2.70%		169	190	114"
"Libya	9707.00	244	173	4	1047.00	8487.00		1410.00	25	88492.00	12855.00	6883928	14.18%	144	103	105	14"
"Malaysia	9240.00	5	125		8932.00	183	7	285	4	1152140.00	35535.00	32422234	1.38%	105	162	167	160"
"Guinea	8876.00	84	53		7628.00	1195.00	24	674	4	16975.00	1288.00	13178580	0.69%	190	162	137	180"
"French Guiana	8743.00	32	54		8189.00	500	17	29174.00	180	48382.00	161444.00	299682	0.66%	31	33	2	181"
"Gabon	8319.00		53		6614.00	1652.00	1	3726.00	24	104420.00	46771.00	2232578	0.79%	90	104	64	173"
"Tajikistan	8203.00	37	66	1	7006.00	1131.00		858	7			9565683	0.93%		146	129	170"
"Haiti	7997.00	48	196		5447.00	2354.00		700	17	21400.00	1874.00	11421419	3.47%	184	118	135	88"
"Albania	7967.00	155	238	4	3986.00	3743.00	15	2769.00	83	49172.00	17089.00	2877351	5.63%	133	58	82	50"
